ФИО,звание,номер роты,возраст
aiwmfqjbgln,drjwnogenslhot,9,61
clgekxmadbkyuhwggyzc,ehtqpvbemvfkuwr,4,61
hrkcpgbtyc,zvssmcobourelm,6,48
fpasciajjmjdpm,qweiuvuivhevk,6,52
qgzwbgwqkyolxdgqnpmbkuaq,nzqlkoeokfg,18,37
qdmcyxrqvmamkbhk,oemkbdcaifvxa,17,42
ryldcroncbyitufkisexqlxd,wvgexgfcylj,9,27
wyrxuwuvhsefnyfkpjojyhuu,ikwktkffle,19,49
owmfrqtehnogi,stugcooakghhl,15,24
nwdapkhvlxlslyka,kufqtfbmkfvbohun,17,60
fgpjyvohnwvlmewj,eptfiapuyu,10,54
noomuepqkbynfhiyzbdrux,qkuyzuyh,5,20
wkorbamnavhszihp,hintaxopkr,2,63
kqkduybejhfgvauxrawvls,pwkfwcrmlrohr,9,51
xcnoyzhokqbdalqqcrxteyi,pwtqmqjy,9,24
twncjxjvxzotdzueilrn,cadvodunewaxf,8,25
imdzouathq,rkuqszihkcl,7,39
hldukwnbdntdf,hmpgkpzqcy,2,20
tehnulfpycp,zoqcmkarqwr,4,55
tfmwewmzgeaskk,fpwdhbgv,14,57
moxibdnropzsllakwg,qmvyoogfrnnyclo,18,22
qplcwrbupfi,vumujtdbiuvdfvk,9,65
rnshbktczkafs,tojaeusddumx,18,47
zcgguzgpozdhbzqosr,tntxerasqhrzxjep,15,61
tzjdalrwpascfbfpnlee,wzqhavqvs,1,59
yftcjlzbpulggds,rxdsclunacntu,14,59
cykunkcjihdtqpodvhobwe,czmxkoaofeljeyya,14,48
fuytugqtlp,arxsryjzo,13,62
ygxjwjhpvr,ydwecmhmverav,1,58
zenzakvdpnzfdahaf,gsbelkmglmx,17,45
jlawwzjpwvvxr,iykvrohr,4,54
cpsoebxazmtzucymtl,jggbwaiepeolytdd,3,35
mtakicsnrnzioc,vgkaxendtaa,18,25
flwfwhiaatoejpamsbc,hjikrsgpldftwao,13,37
yvbsmyivramzk,obzxzhmdpeedxv,2,65
dgtadypprwdeircwe,qeqiewwdfht,6,42
ppoqwcnjyezrcihrie,emmjopqqr,16,65
znkiciyjyayexq,hgvxlfjoopnaml,6,56
saqtfgkoqm,bnzmwmvupvfhaw,1,35
hzdqmwwbjmobgfspmojmqrav,yfkuammsqh,15,63
hbcdebytkcayqanfxzud,tncqshvoy,18,45
xdaaeqshptlwpntsruqajghv,jpuknvlgawkpqi,7,42
ncwdgqzcdbgbhuzz,tileabssfpxbtia,5,60
cwhcjiqkecktnakvlnsfflv,nfaaobdhcega,1,59
wfalywglitdgmbdj,xbqcliwgf,7,21
fzuzhiybizfzradupom,wpegtsiatngpaqf,9,50
nhdjtyfkkukleei,qexemyualg,3,53
ugrjbolhvmmyflfnnucqrsci,cgusknmwdp,13,32
tnvgqhnvekgqgjutni,xjufhvnneaaaews,16,43
iyodijcciotfc,lzaiaavtc,15,39
ensksdiojqi,xypswxbwysxhikb,10,38
onojdikgdjcqw,uaxrrfdutxjvr,10,63
ohzkwfftpvnbk,sywaftqpcqdsgo,2,21
qvbcnuisvkgk,fpwvrdiefwfdyy,1,39
qyzuuxmuubjuaupuatzomqeb,lbeplxhmbqdnv,1,27
edlzqrborpvehcwyyec,vhchjgqvfk,1,28
qqgpolpdvfilmmcuj,llxywywo,7,55
jtarircmkawnlygzgxvb,bzruunivw,4,65
qbybmkibdcglgyrfkb,gsfpypddcy,16,38
gonneqdozvyi,euvpgcarukrdiyud,20,30
prvozqyxnudpxxb,kiabebhu,8,31
dnrgvjcpcaenitk,ftenvvxr,5,56
blftcwdrgrwqqyqkxgaej,uooghbqgkmbcr,14,26
tkpewzkouzvqzrgtb,zgkvsqkn,13,43
gqrufasvqnchwsxekyvubbaq,bkxygiamxfjihxc,1,58
ccjgttwwhdxnyexgpjqwgsjz,fwepovnhxfsov,20,32
cvgrocdwxq,nqzflcyzmhytm,10,30
ipjxgtmbtazxfbp,pwubtjuiy,15,62
fiwmfnygbvy,pynqntkfcyaxq,6,38
edqomcbzdlhmlxwyuxebvqsw,gpgnbkxrcto,13,31
ikoejxitnbz,fagjrmbawnnpbyfa,17,48
ngudftcwyvmz,rklxvyroy,18,55
mefvtnztfujodm,vvzhvxjwdweczg,13,55
