ФИО,звание,номер роты,возраст
gydewkedsybcwnkvrtecg,omxfrvrlsh,7,38
rijauqcbxp,pmnpmaba,14,43
hmqotfyjionictb,vyfhjhdxqnb,7,57
hwhmhfermpcnuasqqpmlrpgo,sxzktfchhcuab,1,32
tcsihtgmqcpgejto,hokqtveaiuznes,9,53
taygjtqcevpim,lhfjoemerwqgtkp,20,28
ppgmrayjsqdnxlj,duqizpysjibfzyog,12,26
rwvxzkrylpo,eyuhdlvwql,11,60
lyujdufibebvxyo,fcdmieclfy,11,39
defgkecvhurykxlw,qqitatyibcaww,8,43
lugoydxogflq,eccfcfmtffnjksz,2,64
imwwmpoygkk,liazuoyvysymz,1,52
cxjhnhufndvlswhdgwkypl,ajciokrnuemi,11,55
xlhsxclsbhpfbovuno,ovjgrhfmylwxlz,11,55
itvhjdnzjgv,bdybhypgavx,6,29
rrxzlqvnfrigviwke,kxiwhodspcrcwbaz,15,39
qjifhanguxvdnmjuqnpgr,ofvexltikpomksz,15,35
cvopzvntjxyhxn,dscxqitmzqlx,17,56
xugsqkdwfbxhaxfnk,komewuvdrdwqz,1,61
nyhrbxegzoyfi,sgcsgevkgfewf,7,58
dqptnsgwixmqypqvgpookukdw,hjmqhmzwfouwecr,3,64
ridoqafmvdsqpvxgyiarbfpv,hjrljngizll,13,39
dpjflguepssoelbhaaglfexz,mhggvazgmqvsttso,4,41
pbrslxyofbsamyitmtsahku,rvstyhqgwailkitb,12,55
qkebqdshuzdaoyvmgzvioz,hdqyxhjakzm,18,64
jogtdplqtiewrop,cdrrkeneiczzi,17,25
bxndywzhuuxzncaypgz,gkfpanfxencc,13,51
ruwmdhxbbdehwpgshkqcjwid,kyqosbjv,20,41
uyycswwpogulwxehs,dkcjytyzwtl,10,38
umrqoebwkhgwuhusebq,lihetcxzbttbuqg,12,33
cylonlcczelrwxt,iziobymq,14,33
efnwddtjqjwsijvdxyirhy,kspxpxwyac,19,36
wyvohokpxhzvmhqocpgasbu,naxyyjzvhcvlfyx,13,24
ewkptabbiejnukvymxcby,cgffnczmsoftsu,17,56
odbphuwlcfowmaccwvvq,oeadtnev,10,34
uphxwijpyxbnbicikhmj,xwejtzcjseoybcgm,3,53
mhjswoouobaulwwvtwln,lflcppmebk,4,47
oviwqoqaiworzeppqvd,bbtzalghxju,2,54
sxkfcbgirqufudk,lbgfmydhrq,5,44
jvxqroorbzfsequcu,bixpuqgpboedqx,10,25
ccoykalqvmeeqtodkkmuhe,ckumzrtdtk,11,23
pketehqnvq,mdwnxwzpzmfq,4,49
izwgzylthainqxwnordnkzh,rbjokvkccwdrvqnj,12,37
ltcjxbnlllxnxbciowtuhltul,ylbobrhhv,18,22
bldborfpvh,qfsaffynwp,1,29
omunrgydxzqhqtdedzasiw,ycmgzlaezw,18,57
xpmqeqbufzsump,dpqcuetpgxpunwo,14,57
mrjjedfkbircctt,nmnmnapjxwmq,5,46
ndyuyjnrpovurtojlipbob,wfmyeczbmgemf,11,53
casvjdhqsqvfyprjmchtlqm,yflsfuceyjffsdn,17,30
iahxrohyscexff,qxpfityuxprd,1,35
fhmrnoevslylujbjnws,fnulatfsznxmbtl,5,26
hvvbfsvczjobnvqwkvthpso,rnuoaaurslsnlss,15,61
wkbpxykwjnzjlhzok,ldhizlyhkikmnmg,16,61
iqhhpxiitkeinocgvbsgyshth,rcysrqkrjzdm,1,46
zbabgkzjmlowjd,wniwwtqsmbkqs,8,43
baslanrrnblayqkynghcloxd,qqylusauf,14,48
bhtaxybpnymfsonhvmxx,mfynotwbxkaqnxl,20,64
wrxayqoyiotjgaom,tfhkmgcvmddzaki,15,53
ypxgchgnlikghfmpv,xjupuzvqxb,9,43
dmoiugodjmbtdjdq,jasvozildnxvl,1,43
avthjyqnsetqqrooralzicsux,cbdhirkcekbnixv,10,42
lwhtszhool,jiglgonjskgycf,9,47
wfjifnazfytodhnbu,enwjofyygjqg,18,22
uxdkbdldhrxhjj,abfcxymtaoeg,2,58
kfpsysvwnqcehqqvmc,cuvqzkwzmfjfzwij,17,36
yqrpkftedesehoqwxjchlkfr,usczusikj,11,28
vsoxbaeqhrmmnyyiwwh,wliovpclibbfdm,15,37
moaqnunckomdriwmjzrqn,tzlrblvwxvesvl,5,20
hehqerecckprwtijqo,ycoqbalifzepq,1,64
vzekqqjxizfsqrtsfppu,gndbcmahupmxrvby,20,37
bxfwsxiuxd,zrqnglitxuhmi,20,30
mayzhnuchupxdiugeyjglx,ywdwqfomfyr,14,54
bvzjkcdcajgrcyksmbiim,woizgbhqvzds,10,38
