ФИО,звание,номер роты,возраст
knqotdvexshhcvbatiwgecx,vseqoztc,16,37
brddphtnigvleftayltw,znmshwxqfljsyytz,7,29
brpfatakqlh,xoiewaqdxo,5,28
gtsvfybdhflacpzvgdmd,zmoahtwzekjwbdo,5,27
knehserughljwqajqrt,iivpqgprpqfymm,3,40
gaeaxovbeyuqfcox,rrkrmniitd,15,30
gilehpfnuvkmenaqnp,kctzgdrv,8,30
fhvjygfjmmubfpsgpgwykkvi,xltqueevevpzhza,15,60
pkbscntvefgjme,ptikkkmqore,6,54
hlaukzfxsu,kurwckgx,7,29
bcjditlifkidnepiz,moygrewqwviu,7,55
mdkdfjufglmn,tojaazmchutnr,10,51
ubwmgadrypbclupydtmihr,ywnbvqztxesvlk,18,61
hqqmhytlkalmaijppievkq,robtssiubby,20,34
zeouwizifxgrzpsnb,sppmwkylocp,9,46
sqpxevbfvjiciinybtnkskilc,ljhrwtdjf,4,27
xxaqoemsgxttrmpswfcgao,soprnkao,15,37
zmzvovkvtolui,vjoodoxoidpvpdr,9,23
rmjxsqoplggoevdza,kbcqqpdms,5,57
yxfhoodnuc,oqebmgbfwgxmcz,13,23
mmjtpojhaqoyitoo,enjsxwua,4,38
qlqjsfvwkgbzgpeisxnk,oisnwrnd,2,34
prbiwpbfqxekeqiz,lsqyosanzaikdiof,20,42
lkfxqvsklxzbrxma,mqzxsjxwkxvqrcxa,12,41
vqnoojqxtcn,ducmmncv,15,46
fafpjcpetutylgu,xdnodsqorwrmhti,18,55
mbraniaoelerwpmtqq,twfoqyiqet,17,55
rzvxknhomqpduoyqfn,mutgnwgmv,8,28
hsquzjkxrphxqpirgj,jwpqtlywsytdbi,18,53
xohkpxvkrrmqnlbrc,aqvjhyeiagbmjrqc,1,25
eetxmrxzbmdewsa,hzxyowipvxxvhjkd,10,57
ciuitetljlw,mfmfjkfggwoo,17,53
etfyulinnbiveyvqcuuflaq,sifbmxfqbildvun,9,39
btfiluleczotcdorsbekjbwze,zauqafswvfpajoo,4,46
hkxmukzjkdqera,xyevriymshe,7,64
fubxjwkezgbpd,vhzshirlfdn,11,43
zgtauvuaxfgmwahfmaediec,hzpsnkpq,11,44
ofsinjgdzhcxfislgicwwpcgx,auvgnfzqeflkbobh,19,52
uuknfpflzravenjbwy,vlaaowypjlis,16,47
qdkyhfcuzssxqb,fcsvzodfc,19,43
duasfxoqpsithqyjwqduudgc,ngarsiqoexbpbo,3,33
hxmfuftlaecjptz,wsqufkrts,7,26
qbejgapmwyi,kwavdwhhlclhghw,10,28
fetmgxiqmjriqyqugvnl,qncnfpgszupz,17,22
hgomvcdnboqxwatuh,rcaotbgczbaqrm,10,40
ukmeddjrhhqtjczskv,fsgqkwlcaticwiq,4,38
tgnzqvmacdrhh,hryekvqobyc,6,24
jszezrfxjjiir,gulhrimtvry,19,20
clecuenqtqvawbstf,iuitczbjwoa,4,21
hbcwxrpzdwlgfwixckdqhube,secpelkycuw,4,56
mdgpzvqfezchdqt,ocdwccukwnykj,3,33
tikbvoylxrt,rbcrrjegtbmxsuse,20,49
hvurkyjvczuumwyijuh,aiwooslsgoghlnrg,1,21
eobwjrxnvortotjdfpeyfap,sturgxhtc,15,49
tdanzbucwcgxukyilax,lnptavsvuwpng,6,30
tjdptjclgidwimnizi,kmeennysj,18,34
rvnyaggwoqiqfnunawdtbaum,zjymjpglxg,18,28
hngrenatbrymnyap,ypxhiobaqwdrpvs,15,43
iwruvnencpypfdtdsnr,bfmmnhsyfszq,2,50
dklaajcypvxolzuviqq,wwutblampa,18,48
mxkxryzmein,fkjpjnxlkfxvtxhd,16,26
mmvvparbwlmmrut,pambsglvfve,10,41
fpjsrblikcwujvpnuwjapqk,frlogajn,6,65
eahlnymsuwvlzgsgoamzxw,kyqatdnkfpujovl,3,51
yibbglkyljpywqpedhndh,jqmjobmouw,20,28
cebgbdmoamzpchhmry,hzuantavcjw,12,58
xfzqyyjfqhcuwcjrxi,nsdjgxdaz,9,55
jnjchpkavxbyaqhiqaukaihyq,comforpbsy,2,60
vkpshwfvsvwadea,ibkflqotiio,1,53
wltvdmgffbozsjpdyuvi,qqnnakxjxibgoefi,1,47
iyzopzzoenrbdveut,lomsuhtppbq,10,21
