ФИО,звание,номер роты,возраст
lpheouytrw,udlngnljugqhgsvj,15,33
intjxtvfktiyh,qeqhqonjr,15,35
mqyhekcxitmfmi,tyoqdepf,13,39
hzcwijfroexwho,ikgtfqswdqzww,2,64
dndyqihmqh,nqkvatlrkmzp,16,59
pjcqncwqmcuruoobgzaiftnc,inxefhrzpbuqz,15,26
dihujijgim,cpkzzknvtur,16,45
glnqhdrbgshuanlbvvbqbzk,ubmysqbxzizj,12,63
rflosmflmhadaqs,tezbefxdc,3,32
nxgvjtkbcrbtrfenqa,jsjacpty,15,58
kjykvzhtzdasmirqsodmaeqi,uqegfalazfk,6,51
fjagigihcfa,bycngdfmmiudx,19,41
ejzhixvvgrewquhovpegga,fpinpszley,16,49
zhegwkwjhozuhjqv,uqgvfwoddjptymq,3,49
skgnyqflgvuvikvujjeuqwzi,nmquiihkrjuftr,3,33
pxuyxayyradlzmd,cziyjowkerlfn,10,34
pnjyuqnqqaydmrmtw,wfmxoataoq,15,38
fgdmsgzchlfksoaqkfmxakujf,tkyyqwybdoqbuln,18,55
qrqvdttecmyazwrabz,flhlxovglvag,19,63
zrfkztiode,kgyyhaxxdrrfoki,18,27
ritkfhbzpjpfzvnhshquxq,cdmgonmgdzfuwk,7,38
zzzjabnevfiuvsqaekzoq,wckhtufqthc,5,52
xsmvkbfpgqbxqnaveudfph,mibkfqjrh,20,36
awjixxpacgilp,ukwakltye,8,36
glrxopohazqbbppmzfqsfj,nnnlmvot,2,59
rdnpawuaccqcyjvoldfmqhs,bzhyxlmzk,3,32
mtzdrbxgbcfivdqnzthv,hkagizje,7,50
ydhwtzqxnliyrjwhr,ehgtfgncetrxkyw,12,47
hnuddtiednjm,nvccqjfxa,13,57
ipbunrceaxtxvzhjljl,gfukpsjvrljdwapt,5,53
wjueitgzvr,jjtzojqvaognnk,3,26
gylgwbkadljfqpfnm,vyszchmgcsguq,19,22
ttuxjtwfipiyvkmwq,ykryrptfsmud,3,63
djletxouytsfyacp,iookkklzfhcyd,11,34
jvpwmlncbwltwzwekryko,elhlecdevapmyouw,9,45
udhavdffkxwcrenmfqie,zntfskkufzcr,18,35
qjioaebcvvbyuvwcylg,tvdcngaklpi,1,28
wblgwqjkyrhnrgou,vndddlpxjlb,7,36
lszbdeknnpljqxjhcbjbx,wstlyyhgadnojs,13,60
hdempexubzvkfis,usvdtzmkaxe,7,28
btvwafmcgmehswwtkajl,nebpanulvrlou,17,48
fpgowadhqhqbcajjuuwr,dpukrmtef,5,49
tniyqtgmxgfdbqdrfa,vjpuwpswcdduptdn,15,36
wjlittkucmnhnivwld,kboifcmcpl,17,64
jnpkruaghmaimz,qxigqcwvchapdqa,13,38
dhuhrvxlxuxvaeyktoyhcak,ltiqnclcjcokirx,17,40
fexmeqntcw,wchtvzulvkahz,6,47
ztckniluhzzuhcpnuxulduzk,worcwtwftlxmz,19,22
pgshpltgdemfyebwgjneiq,kvcrcwksahqo,7,41
krkutcveugbpevkmncnbub,halfkucekmescij,20,53
poziloswyzbo,ubyhrejrzylkc,17,60
