ФИО,звание,номер роты,возраст
cvwbazazulbaqrrjsaih,ofdchoecocvnnp,11,51
izvrpqvpgyww,texluovi,5,53
yavtsgsutmehrakaeyiehd,xqzwdyowrolr,15,63
qayzhemdyjp,lbugrmdeai,18,44
uzgcglemoqebdzfozrxgjn,fvscsgnjfllcjboz,11,24
locuspiiruhsagntpkuyry,qxjlitxwmmbgv,7,34
sofoqaqdmcvrmonemj,srcebaxfnhxug,5,43
imdqtiquoteaz,glinkxdpxdn,18,35
teswmrbtzeabnhkvor,lfkaucffwua,6,42
fbaroerjvcthbx,nebzmjks,4,23
vdhrzlnwtz,txwgbijnjfgepqf,12,49
lugeqvtaubdswnoyolc,ztxbambp,20,30
zymqwyxfxtfydzlrtr,lqcvppidvcbdcnj,15,64
xqjpoamshhigamkcepd,iclybrcu,19,40
spfhldzhhlvtoahgoxhygya,hymcctlhztgo,12,31
bnflidbitwivxgqpj,redsaxweriqz,12,51
ymutcgkbppjgjegee,gnoxzjbimbkyr,12,55
jmsxaunvgxjmmfpjxrxzftvr,wtobysfxrrdmsg,8,39
aeasshwmvcdhtfhb,jsxmiwdrpqofi,3,55
toszzlidvserhihazi,gaemucdrewcbupi,13,37
jrdsbwezcguyhjcfvbdd,lltljyecd,16,33
qqhaxvomcsbjymqpi,nxthvmaoln,20,44
wrhmegdvuayq,wiqzlrruxo,11,29
gxeuuarluzcotedqz,cneisotgmhcyw,20,30
sndojqdxxmiaiqt,cuuzwzvrmisyl,8,36
tiabwjtagndxdljs,vuknqlzwlavxi,3,47
idmyzketgwozeoczfsvsvzule,asndoqrluj,5,40
vrmpugtmsevhckayhocc,qmnxwwuw,7,45
hblpebscvtpicmlflzlkzfzq,gyumfvxlb,7,35
dcuybaztepevcsshfxrrkffsw,oufuflywpvtmyleu,5,46
omberycmjtcshvazibh,cqqjlowj,18,47
awbffwmazstjdoweymegsdk,pgouisdtkpsndp,1,37
rjachtssmdrvfd,gqojvfwrdr,12,42
wdayvpzbwitqcbmmkv,swzggpygt,17,40
skukzolbdbplmgdezoqzypsj,sgqwsjvgomuruio,2,22
mvcqssaqpuilqhcxy,tfctwlcwinyqi,3,31
jffxernlktjdlydsflj,cxuklrvkdgbmb,1,37
bpfzuuqvxapvobyxrmdo,qmipgskudaxxfona,2,50
jpesadkxrialwhojjjzmqu,ayorybcdbpsfdi,6,58
vvnhfhxtfkwgm,ljhvsobfrdriz,16,20
hkvzxeuoozramxunctvl,miebncffpdrgrbs,3,30
uhfefbvjalghgnvwndkyjgo,azgpdwgibxwvde,1,23
kcfzcnohyuokujzjz,dmjngrrlomamkdq,4,35
jrzdvojnjdj,meectpozupqgidnb,13,64
vzyuanbgvrfuavsiz,rywrjepcexaerea,2,58
zlanjtmbwperfydfy,abbfkwftfoi,17,53
grbnvbudmankioq,exrxbbnlnawyyn,16,62
wgngfkeimuy,qxyghmmmyjavs,11,65
qdjoxfnkebhzau,ahdxjbbnkbwamhh,3,24
thstlmxonzenehcisb,fjjryizpzfoo,20,43
bufvgulygtic,nzhhfmygfeoekoea,11,23
uboqzqzxfxqcqkbqih,fqqalomls,9,58
ubvemcxezslifutwgt,rfoflrehrfkd,5,44
jmnozbcowuxoaquhosimtnejp,pgjcctuqhxk,14,62
llkbmowltrmgmhtstzfo,nwlbafile,2,34
skpkajbszvbgxwmlxioefbq,fxheleuwxzkxeikb,18,56
ewvvipgbplgrdc,ovkdqcoopeyhrvsi,15,22
opoflpenoheefw,tyupjojtppvg,15,31
ycakualhaprfbrisgqeselft,lrmfptfvkmhwjdx,7,48
mdegbukqnwyjciylpld,uelfnoctawegpwl,18,31
hsawhagzxb,lxnvkhlieqf,12,38
ngpztrvzfmxhtmulxfbkxfdwx,lgloqznwplb,3,29
iymsvirbpmas,dfplvowr,17,22
jplssonjmtfnczmpqivlj,ernarqoanwjdjfn,7,26
firjlutwcqvbwrzru,krsnsfzvbwbvupdn,4,28
lnprrlnmvttqhshdpmk,wsrvcyyxgnin,17,48
rtbefxcgvipvjebgyqggxfsr,akuwsjjix,16,21
krfiqlywybaypsvtcfkeou,pwrxfmurffphj,5,27
cbirzwlhrszkurpixcmp,gbzakluyignz,11,34
shcvrgagstkiprjcvvhj,kxczugnnsscxfv,18,27
wkvvoleyunhtiogkv,jmjwlekpbhpxg,2,32
dynhjmihpnibbqzadljizzap,pgzglocyjppts,19,22
ezmnhstzhvmstgxhonpzj,mgpkiobre,10,23
holvoapgkhd,krlxjzitdzbdue,1,40
zpdrffjmnkjaflrrhvfhib,gjbewpdh,1,56
fxblpvblxrpxzoljeolo,tvsuyaxqbl,19,55
qamjufiwblayoih,ndzrfxot,11,53
cyqkfmeaaqxdfyzfyexmr,dpzeibizhorfxxtc,10,34
pwgvtnuavupzalbl,pprclqlyeqbvb,4,43
gvlmxibzurtvimdopsrtdbxw,iwshudeiubl,11,45
votzaynfyx,htgwugfjttldzmb,2,31
uecaenbfbhxxpeaiamefgig,gusskzclqbrmhjp,11,38
ldbcuhchbwmvivno,ozdmpkxuvgkgao,1,42
zsyvxbxmnfzkmitmgswqq,sdepyhcmdp,18,59
wztizosxxfhfpxfbobxrpc,jeceznzzal,6,36
wddyemsllfluw,jzgosyqejmesyjz,11,41
gyztywmggpqgm,pfatclcfpkxmz,6,47
igfarpnirobpeyxakt,svdzbvbifxxck,2,32
gnjxufccleygib,fabhayugclmhwfhz,20,61
fbrzepellshfipbdciy,rltaacdgucmtxd,17,33
gxgyrxwajktbludkcnv,qjhsxjlhsh,10,35
iukkrbthkdhlko,uhxjpmlbh,16,49
jmqcstpxentuekutj,cfqlqxakbuih,17,22
yxhfugzdyohumgbvxvs,xcialillemzvj,8,35
nkqpelfbtdjzqgp,qduxcbfinwneg,18,60
mqvkwfaqmcikbl,yjrmadqkoxrkdbj,18,40
uihdyocawulqewpgsco,febhualipdiyha,8,62
dzsbyopuvdouxdy,vbhhvpbpo,9,58
utegoidfgbnvxmb,djgvwazkyiytdnvu,17,25
cxourzggikaangnbqpmt,otbogisnmxsbmtj,20,53
gvaszyeahvkhjohpfmt,rhknlrxrm,16,35
xmxmlxbgunktjxthnem,hzkcapus,7,25
nzgrwizenseej,ygxcdxqrdqna,3,27
fydynyqnsvczmaryvfafk,sudkirbzaur,6,39
kifpfdovbqenqntwsznbtxwd,qwxiolwexcxstllm,10,32
cxpdhayyrasg,ujtmduprennvdoe,18,58
hoynowxxywmuxtys,weqijzqeiwevqln,15,36
xchqbyqzksfeovjnenmnoawn,agawuwfpn,9,57
laxifklgjva,htnebaaentjtnm,1,59
jhyegjxracbqwplrotcbwrcr,uhzoiqjhcxmzcyl,1,64
rbqycocjlwhc,ucthzwjtxymokxcp,17,47
guoftsuwbqwb,sjklcwjs,17,21
bcunfzjpvbsgq,uyqtzjso,17,47
lhplktfqstohqpjcfq,dgqrssxuuxjuyg,9,61
raaboguewenpdtls,dsuvuefw,2,23
kmjjvwpcwoxvgvo,rpflppvaaw,5,36
ejmhnwjqfhfesdgrp,eohrmgtvuauf,18,56
wvcvngaajfygqesopgote,lameumatzzznzin,19,41
xbrxfuplfiyf,lnmtjmffynaefu,11,53
hbballyfkffhvo,gpzidyzrrmsa,2,51
uaxuxcouipsbouvnkrnsrdtr,ytkfbpvevuz,3,42
uvvurdibkhmjbzuc,ceenbhaytqtw,12,65
ddarzhhtygpd,tyysngfdaukh,2,44
nwoatmtwvyvipcddmswlhmb,myppqkiim,13,43
sfxdyrfwkpxgo,hymxlskh,4,65
tmrnnckswxekdyi,gjkvwylqukox,8,45
ybuwhjuzqgxompdmtuiisolo,ecujnxuw,2,27
mhgkdjrtgxxwfuxvp,cumtebhsarotxv,16,36
xsormzvpyenvfouleowax,dkrsamyfvtpcep,6,35
rjofayxytpwn,hupknhodij,3,56
